col:ID	col:sourceID	col:parentID	col:basionymID	col:status	col:scientificName	col:authorship	col:rank	col:notho	col:uninomial	col:genericName	col:infragenericEpithet	col:specificEpithet	col:infraspecificEpithet	col:cultivarEpithet	col:namePhrase	col:nameReferenceID	col:publishedInYear	col:publishedInPage	col:publishedInPageLink	col:code	col:nameStatus	col:accordingToID	col:accordingToPage	col:accordingToPageLink	col:referenceID	col:scrutinizer	col:scrutinizerID	col:scrutinizerDate	col:extinct	col:temporalRangeStart	col:temporalRangeEnd	col:environment	col:species	col:section	col:subgenus	col:genus	col:subtribe	col:tribe	col:subfamily	col:family	col:superfamily	col:suborder	col:order	col:subclass	col:class	col:subphylum	col:phylum	col:kingdom	col:sequenceIndex	col:branchLength	col:link	col:nameRemarks	col:remarks
5T6MX				accepted	Biota		unranked		Biota												acceptable					CoL																											
4RTDW	2232	8W336		accepted	Restio distichus	Rottb.	species			Restio		distichus				c5dec262-66cb-4c1d-b3ac-58055d064037																																					
6V4BR	1032	6L8K		accepted	Pericycos philippinensis	Breuning, 1944	species			Pericycos		philippinensis								zoological						Tavakilian G.		2015-04	false																								
B73H	1190	QXR		accepted	Agrilus talthybius	Obenberger, 1933	species			Agrilus		talthybius				9ca33c35-0fa4-4ac0-b55c-8cc0cf6a63cb				zoological						C.L. Bellamy		2014	false			terrestrial																			http://coleopsoc.org/buprestidae/WorldCat/genera/Agrilus.htm		
8W3MX	2232	8VXVH		synonym	Solaria	Phil.	genus		Solaria							524c16dc-846d-460f-95f7-e25c6cb44439																																					
4BBDG	1141	4BB4Q		ambiguous synonym	Oxalis pygmaea	Phil.	species			Oxalis		pygmaea				e3d0e9a9-f92c-4af8-83de-3aa3f21d7720		614		botanical																																	
3DPFX	1101	4HZ8		accepted	Exoprosopa inornata	Loew, 1860	species			Exoprosopa		inornata				8047fbba-e257-419f-ab02-2219077a6e7b		94		zoological					8047fbba-e257-419f-ab02-2219077a6e7b				false																								
3CZLC	1039	8HJLB		provisionally accepted	Eurhinopsis aurita	Gyllenhal, L. in Schönherr, C.J., 1836	species			Eurhinopsis		aurita								zoological									false																								
49FRF	1130	49FQG		synonym	Onchidium chilense	Hupé, 1854	species			Onchidium		chilense				52cca9ea-f8c7-4ff7-bf06-2e436f796024		120		zoological					fc7d6397-917c-4244-8226-83c11aedc36a																												
679XJ	55434	9226N		accepted	Antaeotricha carabophanes	Meyrick, 1932	species			Antaeotricha		carabophanes								zoological	acceptable								false																								
PS6X	1130	7NRL6		accepted	Calliotropis ostrideslithos	Vilvens, 2007	species			Calliotropis		ostrideslithos				243445b9-08ae-455b-bbe9-5838b098cc9c				zoological	established				243445b9-08ae-455b-bbe9-5838b098cc9c	Bouchet, Philippe		2014-05-20	false			marine																			https://www.molluscabase.org/aphia.php?p=taxdetails&id=446332		
4CRS4	1176	4DC53		synonym	Paractinostola ingolfi		species			Paractinostola		ingolfi								zoological																																	
4DT42	1174	6J7P		accepted	Parrasiella juanensis	(Cantu-Chapa, 1968)	species			Parrasiella		juanensis				e9b9f71f-8004-4d76-a057-8dbe489d346b				zoological						M. Clapham		2017-01	true																						https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=332517		Ecology: nektonic carnivore
7FRCX	1037	86JM		accepted	Vespa flavofasciatus	Matsumura, 1911	species			Vespa		flavofasciatus								zoological						Gusenleitner J.		2011-11	false																						http://www.zobodat.at		
